region,suburb,median_rent,property_type
Inner Melbourne,Albert Park-Middle Park-West St Kilda,1110.0,3 Bed House
Inner Melbourne,Armadale,1100.0,3 Bed House
Inner Melbourne,Carlton North,930.0,3 Bed House
Inner Melbourne,Carlton-Parkville,900.0,3 Bed House
Inner Melbourne,CBD-St Kilda Rd,,3 Bed House
Inner Melbourne,Collingwood-Abbotsford,950.0,3 Bed House
Inner Melbourne,Docklands,,3 Bed House
Inner Melbourne,East Melbourne,1200.0,3 Bed House
Inner Melbourne,East St Kilda,945.0,3 Bed House
Inner Melbourne,Elwood,1000.0,3 Bed House
Inner Melbourne,Fitzroy,1100.0,3 Bed House
Inner Melbourne,Fitzroy North-Clifton Hill,980.0,3 Bed House
Inner Melbourne,Flemington-Kensington,750.0,3 Bed House
Inner Melbourne,North Melbourne-West Melbourne,850.0,3 Bed House
Inner Melbourne,Port Melbourne,975.0,3 Bed House
Inner Melbourne,Prahran-Windsor,950.0,3 Bed House
Inner Melbourne,Richmond-Burnley,980.0,3 Bed House
Inner Melbourne,South Melbourne,950.0,3 Bed House
Inner Melbourne,South Yarra,1100.0,3 Bed House
Inner Melbourne,Southbank,,3 Bed House
Inner Melbourne,St Kilda,950.0,3 Bed House
Inner Melbourne,Toorak,1250.0,3 Bed House
Inner Melbourne,Total,950.0,3 Bed House
Inner Eastern Melbourne,Balwyn,725.0,3 Bed House
Inner Eastern Melbourne,Blackburn,600.0,3 Bed House
Inner Eastern Melbourne,Box Hill,650.0,3 Bed House
Inner Eastern Melbourne,Bulleen-Templestowe-Doncaster,650.0,3 Bed House
Inner Eastern Melbourne,Burwood-Ashburton,650.0,3 Bed House
Inner Eastern Melbourne,Camberwell-Glen Iris,843.0,3 Bed House
Inner Eastern Melbourne,Canterbury-Surrey Hills-Mont Albert,800.0,3 Bed House
Inner Eastern Melbourne,Chadstone-Oakleigh,630.0,3 Bed House
Inner Eastern Melbourne,Clayton,600.0,3 Bed House
Inner Eastern Melbourne,Doncaster East-Donvale,670.0,3 Bed House
Inner Eastern Melbourne,East Hawthorn,860.0,3 Bed House
Inner Eastern Melbourne,Glen Waverley-Mulgrave,640.0,3 Bed House
Inner Eastern Melbourne,Hawthorn,925.0,3 Bed House
Inner Eastern Melbourne,Kew,845.0,3 Bed House
Inner Eastern Melbourne,Mount Waverley,660.0,3 Bed House
Inner Eastern Melbourne,Nunawading-Mitcham,600.0,3 Bed House
Inner Eastern Melbourne,Vermont-Forest Hill-Burwood East,620.0,3 Bed House
Inner Eastern Melbourne,Total,650.0,3 Bed House
Southern Melbourne,Aspendale-Chelsea-Carrum,680.0,3 Bed House
Southern Melbourne,Bentleigh,725.0,3 Bed House
Southern Melbourne,Brighton,1150.0,3 Bed House
Southern Melbourne,Brighton East,905.0,3 Bed House
Southern Melbourne,Carnegie,730.0,3 Bed House
Southern Melbourne,Caulfield,850.0,3 Bed House
Southern Melbourne,Cheltenham,700.0,3 Bed House
Southern Melbourne,Elsternwick,900.0,3 Bed House
Southern Melbourne,Hampton-Beaumaris,880.0,3 Bed House
Southern Melbourne,Malvern,1050.0,3 Bed House
Southern Melbourne,Malvern East,750.0,3 Bed House
Southern Melbourne,Mentone-Parkdale-Mordialloc,740.0,3 Bed House
