suburb,median_price,sales_count
Kangaroo Flat,556300.0,72
Kangaroo Ground South,1001000.0,5
Kaniva,156000.0,3
Kealba,707500.0,8
Keilor,1262000.0,17
Keilor Downs,815000.0,15
Keilor East,930000.0,49
Keilor Lodge,1007500.0,6
Keilor Park,850000.0,5
Kennington,582500.0,34
Kensington,1074000.0,26
Kerang,357000.0,14
Kew,2745000.0,54
Kew North,2150000.0,13
Keysborough,933500.0,66
Kialla,708000.0,30
Killara (Wodonga),641500.0,11
Kilmore,615000.0,52
Kilsyth,790000.0,39
Kilsyth South,1190000.0,9
Kinglake,730000.0,10
Kings Park,620000.0,26
Kingsbury,791800.0,10
Kingsville,1337500.0,14
Knoxfield,1100000.0,17
Koo Wee Rup,735000.0,21
Koondrook,510000.0,3
Koroit,625000.0,5
Korumburra,565000.0,23
Kurunjang,542000.0,49
Kyabram,453500.0,28
Kyneton,809500.0,16
Lake Boga,310000.0,7
Lake Gardens,701000.0,9
Lake Tyers Beach,500000.0,7
Lake Wendouree,725000.0,8
Lakes Entrance,475000.0,22
Lalor,717500.0,76
Lancefield,650000.0,5
Lang Lang,715000.0,19
Langwarrin,840000.0,78
Lara,655000.0,34
Lara Lake,677000.0,56
Launching Place,702500.0,8
Laverton,600500.0,28
Laverton South,710500.0,32
Leneva,650000.0,9
Leongatha,556500.0,36
Leopold,651000.0,66
Lilydale,870500.0,56
Lismore,210000.0,1
Loch Sport,408500.0,20
Lockington,390000.0,5
Long Gully,470500.0,21
Longwarry,613800.0,14
Lorne,2125000.0,4
Lovely Banks,710000.0,5
Lower Plenty,1600000.0,5
Lucas,617500.0,34
Lucknow,515000.0,6
Lynbrook,840000.0,23
Lyndhurst,940000.0,29
Lysterfield,1460000.0,13
Macarthur,310000.0,5
Macedon,660000.0,3
Macleod,1028500.0,24
Maddingley,595000.0,23
Maffra,495000.0,20
Maiden Gully,780000.0,11
Maidstone,847500.0,24
Maldon,690000.0,9
Mallacoota,400000.0,4
Malmsbury,765000.0,2
Malvern,3340000.0,20
Malvern East,2000000.0,51
Mambourin,609500.0,34
Manifold Heights,923800.0,6
Manor Lakes,650000.0,97
Mansfield,750000.0,17
Maribyrnong,1070000.0,17
Marong,600000.0,7
Marshall,662500.0,8
Maryborough,378000.0,53
Mccrae,1135000.0,18
Mckenzie Hill,760000.0,2
Mckinnon,1875000.0,8
Meadow Heights,640000.0,31
Melton,490000.0,53
Melton South,545000.0,79
Melton West,545000.0,39
Mentone,1312500.0,30
Merbein,356300.0,10
Merinda Park,665500.0,8
Mernda,730000.0,99
Metung,665000.0,11
Mickleham,682000.0,186
Middle Park,2910000.0,9
Mildura,485000.0,165
Mill Park,812500.0,78
Millgrove,607500.0,12
Miners Rest,545000.0,18
Minyip,160000.0,1
Mirboo North,527500.0,4
Mitcham,1180000.0,29
Moe,345000.0,65
Monbulk,715000.0,3
Mont Albert,2561000.0,8
Mont Albert North,1860000.0,11
Montmorency,1165000.0,22
Montrose,910000.0,17
Moonee Ponds,1410000.0,35
Moorabbin,1232500.0,12
Mooroolbark,860000.0,77
Mooroopna,465000.0,45
Mordialloc,1390000.0,18
Mornington,1026400.0,70
Mortlake,385000.0,8
Morwell,351000.0,96
Mount Beauty,542500.0,2
Mount Clear,585000.0,17
Mount Dandenong,820000.0,7
Mount Duneed,710000.0,61
Mount Eliza,1605000.0,61
Mount Evelyn,865000.0,28
Mount Helen,580000.0,11
Mount Martha,1485000.0,18
Mount Pleasant,505000.0,8
Mount Waverley,1595000.0,97
Mulgrave,1150000.0,52
Murrumbeena,1587000.0,12
Murtoa,529000.0,1
Myrtleford,520000.0,11
Nagambie,628500.0,10
Nar Nar Goon North,730000.0,2
Narre Warren,755500.0,94
Narre Warren North,1400000.0,7
Narre Warren South,798400.0,92
Nathalia,449000.0,6
Neerim South,690000.0,5
Nerrina,580000.0,3
New Gisborne,776000.0,3
Newborough,455000.0,39
Newcomb,550000.0,24
Newington,611000.0,11
Newlands Arm,580000.0,5
Newport,1310000.0,39
Newtown (Greater Geelong),980000.0,30
Nhill,270000.0,14
Nichols Point,540000.0,3
Niddrie,1260000.0,18
Noble Park,777500.0,40
Noble Park North,767500.0,18
Norlane,445000.0,62
North Bendigo,497500.0,23
North Geelong,650000.0,17
North Melbourne,1267000.0,25
North Wonthaggi,512500.0,26
Northcote,1720000.0,43
Notting Hill,1228000.0,5
Numurkah,420000.0,23
Nunawading,1175000.0,25
Nyah,315000.0,1
Nyah West,277500.0,5
Oak Park,1150000.0,12
Oakleigh,1260000.0,19
Oakleigh East,1226000.0,10
Oakleigh South,1179000.0,16
Ocean Grove,896000.0,82
Officer,740000.0,112
Officer South,915000.0,8
Olinda,1000000.0,13
Orbost,308000.0,8
Ormond,1788000.0,13
Osborne,1170000.0,25
Ouyen,260000.0,5
Pakenham,670000.0,247
Paradise Beach,270000.0,1
Park Orchards,2205000.0,1
Parkdale,1460000.0,25
Parkville,1635000.0,7
Pascoe Vale,1170000.0,33
Pascoe Vale South,1222500.0,23
Patterson Gardens,1140000.0,6
Patterson Lakes,1011500.0,10
Paynesville,540000.0,27
Pearcedale,820000.0,11
Peterborough,820000.0,4
Pioneer Bay,458000.0,6
Plenty,1320000.0,1
Point Cook,815000.0,180
Point Lonsdale,1200000.0,21
Porepunkah,1100000.0,5
Port Fairy,835000.0,20
Port Melbourne,1635000.0,36
Portarlington,837500.0,26
Portland,445000.0,57
Portsea,4600000.0,9
Prahran,1787500.0,34
Preston,1172500.0,62
Princes Hill,1425000.0,5
Quarry Hill,541500.0,12
Queenscliff,1800000.0,5
Rainbow,300000.0,1
Rawson,402500.0,4
Raymond Island,437000.0,6
Red Cliffs,420000.0,27
Red Hill,1595000.0,5
Redan,472500.0,13
Research,1493500.0,4
Reservoir,915000.0,94
Rhyll,1002500.0,8
Richmond,1400500.0,42
Riddells Creek,805000.0,12
Ringwood,1085500.0,25
Ringwood East,1090000.0,21
Ringwood North,1220000.0,43
Rippleside,2032500.0,2
Ripponlea,1815000.0,2
Robinvale,477000.0,9
Rochester,460000.0,10
Rockbank,556000.0,35
Romsey,766000.0,18
Rosanna,1312500.0,18
Rosebud,730000.0,60
Rosebud South,1090000.0,19
Rosedale,525000.0,7
Rowville,1110000.0,68
Roxburgh Park,685000.0,67
Rushworth,300000.0,3
Rutherglen,561500.0,6
Rye,920000.0,81
Safety Beach,1140000.0,17
Sale,510000.0,50
San Remo,947500.0,12
Sanctuary Lakes,795000.0,91
Sandhurst,1100000.0,27
Sandringham,2077500.0,18
Sassafras,930000.0,7
Scoresby,930000.0,9
Sea Lake,328500.0,2
Seabrook,765000.0,15
Seaford,856000.0,66
Seaholme,1110000.0,5
Sebastopol,447500.0,76
Seddon,1062500.0,20
Selby,810000.0,5
Seville,790000.0,7
Seymour,443000.0,27
Shepparton,470500.0,188
Shepparton North,580000.0,7
Shoreham,1925000.0,1
Skye,787500.0,28
Smythes Creek,506500.0,14
Smythesdale,470000.0,5
Soldiers Hill,520000.0,13
Somers,1200000.0,7
Somerville,890000.0,41
Sorrento,1780000.0,33
South Dudley,467500.0,5
South Geelong,635000.0,3
South Kingsville,1050000.0,0
South Melbourne,1590000.0,26
South Morang,745000.0,65
South Yarra,1590000.0,23
Spotswood,1415000.0,9
Spring Gully,583500.0,12
Springvale,860000.0,29
Springvale South,785000.0,19
St Albans,650000.0,85
St Albans Park,608800.0,12
St Andrews Beach,1220000.0,4
St Arnaud,300000.0,11
St Helena,1125000.0,5
St Kilda,1423000.0,6
St Kilda East,1580000.0,17
St Kilda West,2760000.0,3
St Leonards,700000.0,37
Stanhope,342500.0,3
Stawell,337500.0,26
Stratford,497500.0,14
Strathdale,685000.0,27
Strathfieldsaye,702000.0,23
Strathmerton,162000.0,1
Strathmore,1485500.0,26
Strathmore Heights,1075000.0,2
Strathtulloh,625000.0,45
Studfield,1077500.0,10
Sunbury,677500.0,208
Sunderland Bay,617500.0,4
Sunnycliffs,341500.0,6
Sunset Strip,530000.0,7
Sunshine,750000.0,33
Sunshine North,720000.0,29
Sunshine West,710500.0,54
Surf Beach,695000.0,4
Surrey Hills,2513000.0,32
Swan Hill,545000.0,35
Sydenham,690000.0,24
Syndal,1832000.0,11
Tallangatta,402000.0,3
Tangambalanga,700000.0,5
Tarneit,650000.0,383
Tatura,506000.0,14
Tawonga South,602000.0,5
Taylors Hill,948500.0,14
Taylors Lakes,982500.0,32
Tecoma,860000.0,8
Templestowe,1604000.0,38
Templestowe Lower,1344000.0,41
Terang,515000.0,11
The Basin,865000.0,13
Thomastown,730000.0,59
Thomson (Greater Geelong),497000.0,9
Thornbury,1397500.0,24
Thornhill Park,575000.0,42
Timboon,447000.0,7
Tongala,450000.0,0
Toongabbie,430000.0,1
Tooradin,731000.0,6
Toorak,3425000.0,9
Tootgarook,787500.0,24
Torquay,1200000.0,89
Trafalgar,541000.0,16
Traralgon,535000.0,136
Traralgon East,860000.0,5
